length	HN1-d365	HN1-d090	HN1-d180	HN1-BL	HN1-d049	HN1-d008	HN2-d365	HN2-d090	HN2-d049	HN2-d008	HN2-BL	HN3-d365	HN3-d090	HN3-d180	HN3-d049	HN3-d008	HN3-BL	HN4-d365	HN4-d090	HN4-d180	HN4-BL	HN4-d043	HN4-d008	HN5-d365	HN5-d090	HN5-d180	HN5-BL	HN5-d043	HN5-d008	HN6-d365	HN6-d090	HN6-d180	HN6-BL	HN6-d043	HN6-d008	HN7-d090	HN7-d180	HN7-BL	HN7-d043	HN7-d008	HV1	HV3	HV4	HV5	HV6	HV7	HV8	OMD1-d090	OMD1-d180	OMD1-d002	OMD1-d005	OMD4-d365	OMD4-d090	OMD4-d180	OMD4-BL	OMD4-d002	OMD4-d005	OMD5-d090	OMD5-d180	OMD5-BL	OMD5-d002	OMD5-d005	OMD6-d365	OMD6-d090	OMD6-d180	OMD6-BL	OMD6-d002	OMD6-d005	OMD7-d090	OMD7-d180	OMD7-BL	OMD7-d365	OMD7-d002	OMD8-d090	OMD8-d365	OMD8-d180	OMD8-BL	OMD8-d010	OMD8-d002	OMD9-d365	OMD9-d090	OMD9-d180	OMD9-BL	OMD9-d002	OMD9-d005	OMD1-BL	PV1	PV3	PV4	PV5	PV6	PV7	PV9
273	6270	24437	22220	17426	31068	18717	9118	32725	29496	20368	16493	9794	27564	11102	19162	23642	18064	5901	22542	22954	26161	22349	43167	21435	24333	37659	32498	2602	42118	9055	14972	24535	15020	28772	24436	44623	11233	18906	21234	44657	25779	26536	22066	27067	25459	20736	33502	34297	34370	22386	30317	6657	12433	16035	26466	22629	20459	12573	15192	32050	17901	21716	12990	16868	12774	30404	17369	27162	9830	10994	33367	6326	20567	11497	21314	22948	21392	41426	30058	23354	16136	62998	37566	10679	27823	20158	34623	257963	11052	19588	25244	58573	233503
274	6442	24135	22013	17227	31153	18479	9029	32163	29721	20001	16432	9735	27325	11130	19269	22601	18042	6039	22804	23230	26330	22385	43730	21457	24854	37980	32830	2756	42278	8967	14859	25403	14968	29092	24193	44431	11046	19379	21853	44525	26434	26609	22164	27309	25542	20472	33732	34840	34185	22355	30311	6835	12498	15995	26478	22403	20326	12426	14958	32057	17767	21557	12903	16794	12962	29741	17138	26896	9791	11380	33664	6565	21002	11883	21865	23268	21276	41224	29424	23623	16505	65034	38507	10714	27181	19418	35413	264305	10588	19273	25692	59276	244983
275	6243	23774	21991	16983	31484	18422	9066	31887	30222	19828	16434	9755	27575	11138	19496	22504	17856	5953	23122	23324	25756	22438	43409	21383	25244	38163	32867	2812	41460	9010	14822	25137	14857	28821	23972	43270	10904	19153	21866	43159	26189	26541	22644	27235	25653	20345	34737	35054	34308	23024	29929	7032	12420	16268	26641	22657	20247	12736	15158	32408	17818	22797	13203	17002	13359	30034	17398	27515	9893	11254	33700	6532	20932	11872	21631	23384	21454	40544	29228	23781	16260	66705	38692	10812	27209	19735	35184	266223	11044	19246	26277	60072	253767
276	6408	23539	22004	17000	31498	18183	8854	31811	29875	19824	15981	9624	26959	11385	19533	22719	17934	5879	23212	23213	25978	22650	43117	21647	25552	37745	32928	2731	41268	9130	17643	25123	17617	28791	23893	42108	11026	18938	21869	42192	26336	26991	22864	27140	25909	20481	34860	34994	34162	22568	31945	6946	12625	16225	26759	22734	20039	12836	15264	32296	17080	22356	13164	17227	13680	30880	17682	26935	9866	11231	33602	6582	20943	12044	21406	23609	21555	39657	28754	24363	16385	68711	38559	10867	26945	19303	35554	265661	10334	18785	25906	60433	261468
277	6373	23393	22430	16726	31945	18452	9125	31968	30517	19527	15752	9775	26716	11351	19958	22410	17951	6215	23412	23681	25530	22961	43618	22015	26179	38814	33021	2749	41487	9081	14558	25247	14490	28665	23889	43744	11157	18953	22414	43692	26900	26792	23492	27158	26939	20091	35301	34906	33392	22920	28886	6862	12770	16297	26620	22538	20041	12537	15092	32404	16995	22382	13198	17140	13486	30885	17332	27193	10094	11491	34030	6699	21346	12222	22108	24276	21682	40301	28744	24923	16304	70909	38943	11001	27294	18764	35705	260978	10488	18737	26911	62033	269519
278	6430	24021	23286	17176	32483	18806	9095	32339	31486	19497	16085	9814	27863	11719	20308	22644	18050	6296	24085	24105	25872	23415	44445	23082	27121	39945	33638	2961	42782	9308	13960	25294	13919	28912	24099	42159	11363	19457	22966	42069	27688	27182	23750	27714	27620	20173	35846	35387	33824	23519	28003	6989	12918	16759	27296	22908	20035	12972	15153	32252	17031	21973	13497	17706	13957	31181	17839	27707	10552	11767	34306	6850	21670	13037	22405	25237	22110	40853	29300	25843	16926	74222	40073	11287	27546	18700	36449	258093	10273	18626	27424	62874	280149
279	6868	24539	24389	17946	34582	19655	9541	33943	33144	20043	16262	10458	28293	12045	21170	23384	19347	6574	25151	25431	26830	24086	45984	24290	28703	42880	36007	3020	45277	9661	14395	25909	14358	28898	24301	43393	11937	19970	24334	43246	28566	28219	25273	28889	29763	20893	38506	35556	34966	24350	29056	7478	13808	18014	28213	23971	20791	13450	15557	33752	17227	22845	14142	18836	14909	32357	18384	28676	10827	13095	35746	7122	22929	13915	23478	27762	23305	42542	29630	27913	17813	77728	42020	11465	29234	19391	36305	256930	10953	19551	29414	65520	293831
280	7008	26150	26068	19088	37451	20788	9900	35223	35582	20773	17118	11576	31281	13112	22719	24643	20559	7030	26470	27329	28993	26056	48395	26330	31420	45976	38747	3314	48762	10390	15331	27922	15194	30697	25230	46443	12339	21079	26366	46228	30091	29680	26519	31486	31620	21917	42082	37210	36728	26220	30516	7763	14694	18932	30713	26530	21873	14151	16436	35346	17804	22779	15258	20328	16234	34191	19392	30452	11591	13591	37675	7448	24490	15245	25347	30478	24746	44820	31499	29960	18680	82678	45395	11867	30557	20092	37309	260431	11925	20044	31175	69407	308583
281	7918	27846	27893	20980	40454	22417	10743	37044	38260	22537	17771	12621	33268	13956	24059	26267	21958	7346	28180	29252	30574	27756	51624	28243	34088	51187	42088	3470	52181	10807	15968	30130	15868	31854	26100	50378	12753	21481	28044	50228	32379	31653	29359	34087	34301	22934	46391	38977	38935	27916	32318	8428	16006	20882	33262	27604	23552	14655	17829	37640	17983	24169	16111	21496	17403	36708	20738	32861	12261	14583	40194	8202	26021	16765	27699	32924	26575	47586	32767	32994	19958	88392	49022	12670	32813	20479	39171	265275	12797	20946	33652	71898	321976
282	8289	29480	30143	22186	42492	23874	11759	40245	40744	22305	18668	13795	34193	14823	25479	27694	23469	7845	29904	32282	32453	28857	53792	30258	36348	54565	45281	3616	55836	11230	16379	31094	16373	33900	27147	53501	13458	22868	30315	53590	34723	32628	31196	36957	37284	24134	50114	40527	41475	29899	34295	8778	16852	22643	35377	29290	24478	16124	18478	39667	18609	24964	16806	22934	18406	38535	21782	35083	12945	15473	42416	8343	28261	17890	30399	36274	28528	50293	33991	35981	21257	93723	52620	13488	34463	21941	40002	270292	13635	21652	35449	73957	336160
